College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Outstate_Tier_Encoded_scaled,Accept_Rate_scaled
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,5.755090956791713,High,2,1,0.18775308776651256,0.056018465230557216,0.7226458157909562,-0.012674055439693757,-0.6681269626758217,1.4088462913452764,-0.2291946039516519,-1.4016057556008417,0.5594977786457802,0.5124477851823425,-0.6789541283407586,0.7420738947418721,0.6391260070100195,1.8150779933081982,0.5157537502634543
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,5.998914390891074,High,2,1,0.47348271760565924,0.08273597384868624,1.0296888476949617,-0.08489100248516802,-1.1623087972167596,1.5045123674303469,-1.0385747644227592,-1.4016057556008417,-0.09060810988813835,0.7816568116943878,-1.0739217798372556,1.3638859589907049,0.7928286551963845,1.8150779933081982,-0.20738347780626806
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,5.528389402746837,Medium,1,1,-0.4295402304868231,-0.48324564741642817,0.7690207208177242,-0.5364055790483299,0.4148380667121805,-0.061289944401662744,0.4496014388117547,-0.38127720177114266,-0.8956449178437978,0.17590711389826053,-0.14633148248231995,0.004942020606680277,-0.15522989657869318,0.3581403891754813,-0.5805764736347522
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,5.571303850748826,Medium,1,1,-0.09300759355290636,-0.16464391628379804,1.0296888476949617,-0.3733069128542516,-1.3900837948934837,0.6203160478629941,-1.0385747644227592,-2.1844360205206956,0.3343576374315665,0.4259346495311623,0.35589122750062535,0.808539510579746,0.2560513072365705,0.3581403891754813,0.7175029449852318
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,4.991633385594112,Low,0,1,-1.4152705393648974,-1.2225555821189287,-0.053119072030679164,-0.36401391094908286,0.872893115472483,-0.4238386292670067,0.7526774067369608,1.5036970035839818,-1.9664038120173581,-0.8700943318940553,-0.7341609556836695,0.3918121831278882,-0.09264109665666519,-1.0987972149572356,-0.770866360009395
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,5.638810341012978,Low,0,1,-0.08077771585910469,-0.8074776554826101,-1.3330274833513371,-0.6572622589402508,-0.10067963175366583,-0.3260722857638828,-0.6142542984789047,0.31220519615957604,0.2611863106631819,0.17590711389826053,0.20805976907672294,-0.16286735762255852,-0.3666623052432123,-1.0987972149572356,0.15502838090331952
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,6.266764828378472,High,2,1,-0.18017304900606554,-0.07474233594180844,2.2780860366648286,-0.15772790585019517,-2.1706909080364514,1.958821970010619,0.8108421980583805,0.589610906138956,0.0472975055627926,1.467641878959388,-1.5221214688076337,2.4973679239732567,1.921528660450019,1.8150779933081982,-3.5122780490670085
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,5.546838255829398,Medium,1,1,-0.27145911398680356,-0.06183714060491797,-0.3392340437249904,-0.018888304447196087,-0.11376894624033462,0.04316040253595542,0.12366360001576755,-0.18659120673062196,-1.498334943952575,-1.2983753500580535,-0.4618260387652622,-0.6263490551654358,-0.13692440314021118,0.3581403891754813,-0.001477328769296739
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,5.502977625509524,Medium,1,1,-0.5371343557435257,-0.3639418028883701,-0.7684736752694478,-0.1624061960324376,-0.02115914000686885,0.016933326759192444,2.0175449906937217,0.18968183158858168,-0.7820953142680762,-1.0407110988557453,-0.6241261617099947,-0.2501326687269887,0.6341232956603398,0.3581403891754813,-0.8429325116318765
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,6.159956447207543,Low,0,0,0.5243231695301871,0.8272088611281935,0.012544204192919739,0.7676884667409246,1.0193220410253423,-1.4912463226655415,-0.2291946039516519,1.066451766681205,-0.8956449178437978,-1.2494530951634284,2.1082507547381426,-1.7484034784636024,-2.3924526873218346,-1.0987972149572356,-1.2357963684675604
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,5.22220392427682,High,2,1,-0.603660749843487,-0.6463731763978171,0.07620224590010687,-1.092794678079059,-1.4860814376784817,1.209754325500277,-1.0385747644227592,-0.18659120673062196,-0.3551734271494861,0.01703484187169807,-0.6789541283407586,1.0017342937327451,2.8359956859131503,1.8150779933081982,1.22537216866725
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,6.54989071997773,Low,0,0,1.3296974152615388,1.3975044645046737,-0.2637884142137955,1.4439439767799103,0.7474276315958315,-0.8939510962294311,-5.699556150931114,1.066451766681205,0.6364201082318471,1.2632379969775114,1.0636508731902279,-0.6263490551654358,-1.0519687050520372,-1.0987972149572356,-0.7425339967163721
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,5.134098490891557,Medium,1,1,-0.8678947238934365,-0.8129407337877209,-0.2637884142137955,-0.42124755421152005,0.5395560299649554,0.31216472861049205,-1.5119094043589478,0.6119203357285081,-1.1631383334388996,-1.094880026424442,-0.3026284436876273,0.31770887154146105,-0.6885530095696396,0.3581403891754813,0.5895880059066398
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,6.837344770841847,Low,0,0,2.0428491730402856,1.9512314890631361,0.012544204192919739,1.9783596156465513,2.297115337082717,-0.6952928841954168,1.0360807080301793,1.171185067061469,1.0351018728628827,0.9692990979140862,1.1996123641074883,-1.7484034784636024,-1.8724588424063098,-1.0987972149572356,0.3933015365440395
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,5.2178396738875765,Low,0,1,-1.343091931247804,-1.1524865054486442,1.1106782881401172,-1.4790166841604393,-0.37689610893187386,-0.34162914293415475,-0.2291946039516519,-0.8317407990918487,0.3343576374315665,0.5124477851823425,-0.32895477682173246,0.24207061628816592,1.2454681517793549,-1.0987972149572356,-1.8718300799866314
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,5.755761698858027,Low,0,0,0.38043779411181816,0.7642184544263523,-0.9727316677869278,0.6355953858538823,0.6792289379186931,-2.2324617327877823,-0.6142542984789047,-0.38127720177114266,-1.0589485972397998,-1.3460179845367914,1.3561294433902287,-1.7484034784636024,-1.7666101753091932,-1.0987972149572356,1.701857699179681
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,5.875756050770481,Medium,1,1,0.36368557121025114,0.09797073617634125,-0.053119072030679164,-0.08427854063618628,0.4666461901064971,0.49390607097335004,-0.2291946039516519,-1.7565250579131293,1.4572396942508257,0.9692990979140862,-0.018169123018266124,0.6744919519989533,-0.4671388486143458,0.3581403891754813,0.33552465258318
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,6.5664259314045506,Low,0,0,1.6724482597493227,1.7913283718185165,0.07620224590010687,1.7758025973961926,1.1124020592964763,-1.0629709897256059,0.4496014388117547,0.9657230697457871,0.7930785944456105,0.7816568116943878,0.6923240937679691,-0.2501326687269887,-0.6623477640253405,-1.0987972149572356,1.0392600991794334
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,5.176065717707329,Medium,1,1,-0.8741708878669022,-0.623342191668465,-0.9727316677869278,0.11449793484123197,0.502111266263199,0.4718535875829905,0.05539420530459672,-0.4854840926797661,-0.6047483730462211,-1.094880026424442,-0.27638263533977875,0.7420738947418721,-0.19103172876789828,0.3581403891754813,0.19044222201896155
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,5.802298962839009,Medium,1,1,0.3388740939764009,0.11083104433542443,0.675328745331237,0.05229420487314884,-1.2373062479710122,0.7869534898148401,0.05539420530459672,-0.7798144878972988,0.2611863106631819,0.09569733284866454,-0.3026284436876273,1.3055390172857926,0.23321172569719256,0.3581403891754813,0.9214152171455695
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,5.2625024368532864,Medium,1,1,-0.5062068793682908,-0.42179417873863634,-0.1910995085854955,-0.3473575074707333,-0.07314506384833197,0.26066610660468426,0.4496014388117547,-0.33894274637344624,-0.5437597006270006,-0.8104772611976783,-0.9305096236198235,0.6744919519989533,-0.5622343980249318,0.3581403891754813,1.3996816360153455
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,5.397006827825975,Medium,1,1,-0.40569893364125426,-0.4636302335001798,0.9459121453121655,-0.5465906523231704,-1.6883580068917186,0.32902876832268085,-1.0385747644227592,-0.09532026038541107,0.4835133023364041,1.1635803366973685,-0.22412911897517096,0.8739402534841448,0.7257832507645184,0.3581403891754813,0.6451598036797984
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,5.142138629605635,Medium,1,1,-0.7877554128753497,-1.1081651194371072,-0.5849046607537621,-0.9832004951644471,0.3013831459239031,-0.001074826464552071,1.3023649764046783,0.23641393781517428,-0.9510154817010009,-0.9851988400469104,1.9615837552373678,-0.9453261344609437,-0.7165006291979146,0.3581403891754813,0.9511964327113083
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,5.116636653484124,Low,0,1,-0.9391798758815909,-0.8866943418530147,-0.1910995085854955,-0.7288823297174306,0.20724118805424357,-0.3483166376790663,-1.0385747644227592,1.3199334198128518,-1.0054500100654609,-0.9283307329438812,-0.7619093999483375,0.004942020606680277,-0.9036897818932241,-1.0987972149572356,0.3768326308712099
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,5.740810196339767,Medium,1,1,0.14527370727206387,0.4075134570631678,0.3687770077049723,0.3776414704782418,0.9937885450977617,0.2618547522692284,2.4385556153715937,-0.38127720177114266,-0.4189723100864871,-0.5579571392876599,0.9028169700855416,-0.07789765626183243,-0.10617250445471191,0.3581403891754813,0.4173637074421868
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,4.575781894199479,Medium,1,1,-1.968997673144619,-1.6721029692823495,-0.6744109272506593,-1.6948013186411106,-0.14762845649391362,-0.061289944401662744,-0.2291946039516519,-1.7565250579131293,-1.0589485972397998,-0.35347352257287784,-1.1320725358242631,1.0017342937327451,0.2645665459976302,0.3581403891754813,-0.0768354716887223
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,5.811747969199109,High,2,1,-0.3547151912688672,-0.503255081738839,1.2651043449994013,-0.6735049516794012,-1.6883580068917186,1.87793808381642,1.3023649764046783,-0.9606431574678065,1.902841217007688,1.467641878959388,-0.9305096236198235,0.6744919519989533,1.150582615517194,1.8150779933081982,-2.0963599098482697
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83.0,93,10.3,33,12580,91,5.9646781587167075,High,2,1,0.17142098591541893,0.1804758188519211,1.3749937779595973,0.1369006235566917,-0.925244514156253,1.6526907612293125,0.4496014388117547,-0.7100928488101287,0.6364201082318471,0.9692990979140862,-0.9589736432806009,0.8739402534841448,0.9466907792604569,1.8150779933081982,-1.259982056603119
Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76.0,78,12.6,11,9084,72,5.423291155867108,Medium,1,1,-0.42419168724755596,-0.5278077443510664,-0.41769469988544683,-0.02343660070007725,1.5741815572673292,0.33136539791935343,0.4496014388117547,0.8415717373961816,0.1176563164912192,-0.28237352323745246,-0.32895477682173246,-0.9453261344609437,0.19598482610711043,0.3581403891754813,0.30604530939689845
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71.0,76,18.5,38,7503,72,6.452159177660709,Low,0,1,1.4557402805984707,1.579078362955058,0.5776799288914052,1.4424396563129227,0.23194512481235613,-1.0119640772693326,0.4496014388117547,0.2302388759572927,-0.2247648828620271,-0.4230962065588109,1.109161442390268,1.186525502100285,-0.3107758058606938,-1.0987972149572356,0.9085560258813842
Beaver College,Yes,1163,850,348,23,56,878,519,12850,5400,400,800,78.0,89,12.2,30,8954,73,5.5202182647885305,Medium,1,1,-0.3399262780273664,-0.2766647616636491,-0.053119072030679164,-0.833370321592488,0.2776982439626942,0.6803911120003983,-1.0385747644227592,-0.8317407990918487,0.2611863106631819,0.6005650532112241,-0.43508339754859504,0.6744919519989533,0.15958778625130116,0.3581403891754813,-0.10923983361517903
Bellarmine College,Yes,807,707,308,39,63,1198,605,8840,2950,750,1290,74.0,82,13.1,31,6668,84,5.298641024465666,Medium,1,1,-0.5326562064282423,-0.4143740765445859,0.8144962912549331,-0.46994019984940544,0.3792880943109691,-0.2874658280935898,1.3023649764046783,0.14195578669882095,-0.022123945179242006,0.01703484187169807,-0.1981197138629203,0.7420738947418721,-0.6507148514205461,0.3581403891754813,0.8785608716883413
Belmont Abbey College,Yes,632,494,129,17,36,709,131,9000,4850,300,2480,78.0,85,13.2,10,7550,52,5.147108027436891,Medium,1,1,-0.9148542999364531,-1.474309288976423,-0.4994689411839057,-1.098144853736447,-0.5687111330584819,-0.2438328726773592,-2.048308048513365,1.5310702281670878,0.2611863106631819,0.25767565625110594,-0.17218743851993448,-1.060970526681064,-0.2933824340998798,0.3581403891754813,0.236161109305513
Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61.0,61,11.1,19,7614,49,5.548796565969473,Low,0,1,-0.1990200493516654,0.07612880200700002,0.2564541555541443,0.05955546209244588,0.398889570751312,-0.5845619581984869,0.7526774067369608,-0.5948985251698033,-0.8393382257670974,-1.2983753500580535,-0.7341609556836695,-0.16286735762255852,-0.2699645858179488,-1.0987972149572356,0.3498620405629712
Beloit College,Yes,1320,923,284,26,54,1085,81,16304,3616,355,715,75.0,95,11.1,26,12957,69,5.595633998156974,High,2,1,-0.2545122097991054,-0.5073055598220004,0.13799295441079093,-0.5831309871770871,-0.8381790084362992,1.3642928024927294,-1.4620140067894487,-1.0556986655376748,0.0472975055627926,1.1635803366973685,-0.7341609556836695,0.3918121831278882,1.0084419148859107,1.8150779933081982,-0.32436931824763404
Bemidji State University,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57.0,62,19.6,16,3752,46,5.542900819755318,Low,0,0,-0.30745167749468877,0.20958391161450185,-0.9727316677869278,0.6819176384241512,0.5887221256003545,-1.781279641101148,0.8108421980583805,0.8415717373961816,-1.0589485972397998,-1.2494530951634284,1.3561294433902287,-0.4323290036172367,-2.6578353535574277,-1.0987972149572356,-0.14240146751948327
Benedictine College,Yes,632,620,222,14,24,702,501,9550,3850,350,250,75.0,84,14.1,18,5922,58,5.147108027436891,Medium,1,1,-0.6715507605793894,-0.796636923018889,-0.7684736752694478,-1.1107366395715648,0.25452777986226477,-0.09761998875753103,-1.5119094043589478,-3.062920596744526,0.0472975055627926,0.17590711389826053,0.0578612934555406,-0.2501326687269887,-1.0152189069534967,0.3581403891754813,1.592314674862353
Bennington College,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35.0,59,10.1,33,16364,55,5.0230136003014865,High,2,1,-1.3665988771657835,-1.6366699370331954,0.07620224590010687,-1.6825201948308235,-2.5348043450754973,2.2629566246673223,0.4496014388117547,-1.7565250579131293,-1.999339635780793,-1.392393977623881,-1.0162263078285314,0.8739402534841448,1.4633422065399033,1.8150779933081982,-0.7949834542112806
Bentley College,Yes,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87.0,87,17.5,20,10941,82,6.148291221709282,Medium,1,1,0.6726944137389245,0.37321103157508523,-0.2637884142137955,0.49860637000018987,1.029409853917204,0.8794605502331131,0.6339700077405097,-0.7100928488101287,0.9534892875353681,0.4259346495311623,0.8796391417393972,-0.07789765626183243,0.6409976588717751,0.3581403891754813,-0.5080160334240951
Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80.0,80,16.3,17,10511,63,5.795802510347577,Low,0,1,0.03193723405653549,0.07391584234241172,0.7226458157909562,-0.13991503047067838,-1.106552791365331,-0.5108746975091973,-1.5119094043589478,1.4370347749246752,0.4084666114840554,-0.1356944211524122,0.5973594417391935,-0.3398815888114029,0.5488289868373689,-1.0987972149572356,-0.6106383516830002
Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62.0,68,11.6,29,7718,48,5.350293486506336,Low,0,1,-0.38242580127669423,-0.9225677402831564,-0.5849046607537621,-1.1035226954130717,-0.9825675695179338,-0.3150004769714215,0.12366360001576755,0.720306207993199,-0.7820953142680762,-0.9283307329438812,-0.5968513856813783,0.605737985971725,-0.23255110106695637,-1.0987972149572356,1.2411279287757169
Bethel College KS,Yes,202,184,122,19,42,537,101,8540,3580,500,1400,61.0,80,8.8,32,8324,56,4.403248400819824,Low,0,1,-2.0181113983163756,-1.5472072638375063,-0.3392340437249904,-1.4613146071722953,-0.7160770609235252,-0.3706970294107873,-0.2291946039516519,0.31220519615957604,-0.8393382257670974,-0.1356944211524122,-1.3997522503124076,0.808539510579746,-0.02906368632803433,-1.0987972149572356,1.1153271407249643
Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63.0,63,11.7,13,7623,35,5.001856969534135,Low,0,1,-1.1891273623576988,-1.7592629458791422,-1.0845174670653988,-2.078637735883977,-0.8874268200608982,-1.097420398630377,0.4496014388117547,-0.8317407990918487,-0.7239160936184083,-1.199238322126377,-0.5696679334896119,-0.7285459060471434,-0.26669579069769817,-1.0987972149572356,0.12252653810695432
Bethune Cookman College,Yes,1646,1150,542,12,30,2128,82,5188,3396,650,2500,48.0,48,13.8,9,6817,58,5.7254351371727585,Low,0,1,-0.028930027628678308,0.2019127744541784,-0.9727316677869278,0.1401853966530453,-0.8314593967701944,-1.468582119341377,0.7526774067369608,1.5485627320659785,-1.498334943952575,-1.8227310098814986,-0.018169123018266124,-1.18236541463741,-0.585373912788788,-1.0987972149572356,-0.3283078312388013
Birmingham-Southern College,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74.0,79,14.0,34,8649,72,5.297116229474374,Medium,1,1,-0.7279619141912383,-0.49520308156545995,1.8339863950842885,-0.3157343147978096,-0.30009653988082174,0.4168816091088187,-1.0385747644227592,-0.5948985251698033,-0.022123945179242006,-0.20978440474634713,0.03258838544133381,0.9383237726310382,0.07090393487116542,0.3581403891754813,-0.11218972375194451
Blackburn College,Yes,500,336,156,25,55,421,27,6500,2700,500,1000,76.0,76,14.3,53,8377,51,4.9993175453743435,Low,0,1,-1.3364723265762548,-1.2306260699097216,0.07620224590010687,-1.7980667168378366,-1.4079726500278762,-0.9951351141622933,-0.2291946039516519,-0.38127720177114266,0.1176563164912192,-0.4230962065588109,0.10819887684225446,2.0131860854053287,-0.012353858488955588,-1.0987972149572356,-0.509680299256604
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15,55,5847,946,7844,2948,500,1680,75.0,68,18.0,19,7041,75,6.509629677685815,Low,0,0,0.924470508819371,0.8355631841537732,-0.6744109272506593,1.0437985490156891,0.6844093815412561,-0.5714816336528199,-0.2291946039516519,0.6952627029457149,0.0472975055627926,-0.9283307329438812,0.995020485992735,-0.16286735762255852,-0.49118269843375684,-1.0987972149572356,-2.0397254376154748
Bluefield College,Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61.0,67,17.8,3,6259,53,4.8178151361759465,Low,0,1,-1.266319939141912,-1.0449219639106846,-0.6744109272506593,-1.2033929563374504,-0.5775343946618573,-0.7837089911468502,-0.6142542984789047,0.4565508868862346,-0.8393382257670974,-0.9851988400469104,0.9490194931800552,-2.110816300186537,-0.842263487325053,-1.0987972149572356,1.3786509704998542
Bluffton College,Yes,692,514,209,20,50,760,81,9900,3990,400,900,76.0,71,13.3,19,9073,58,5.203648601302708,Medium,1,1,-0.8720744828559045,-0.8692067638980328,-0.2637884142137955,-1.0107540532780923,-0.8381790084362992,-0.007435867506012867,-1.0385747644227592,-0.5948985251698033,0.1176563164912192,-0.7494672137091747,-0.14633148248231995,-0.16286735762255852,0.19293625552656662,0.3581403891754813,-0.028250885080052593
Boston University,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80.0,81,11.9,16,16836,72,7.062292863085528,High,2,1,2.2446757212635418,1.9612594360226996,1.0705183742130722,1.7225095835120228,1.566400034084339,1.7371004827258412,-0.41730816701513446,-0.3309705579009971,0.4084666114840554,-0.060091883356808096,-0.5155706927336406,-0.4323290036172367,1.5149199449563813,1.8150779933081982,-0.6990153094154373
Bowdoin College,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93.0,96,11.2,52,20447,96,6.13044782707892,High,2,1,-0.15257740176789597,-0.07474233594180844,2.092417481864056,-0.2292230589851523,-1.9707317600173162,1.839303693574466,4.09895898173997,-0.6517337337581389,1.4572396942508257,1.2632379969775114,-0.7065095991630403,1.9622254883185175,1.8468697924441353,1.8150779933081982,-3.0154054508501793
Bowling Green State University,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81.0,89,21.1,14,6918,67,6.67188130954874,Low,0,0,1.7414064032460839,1.792890133744915,-0.7684736752694478,1.6642175111317756,0.8600279544133582,-0.6897643746874383,0.4496014388117547,0.720306207993199,0.4835133023364041,0.6005650532112241,1.6843804232693957,-0.6263490551654358,-0.5423215742328643,-1.0987972149572356,0.3111597547912219
